DEPARTAMENTO;DISTRITO
Alto Paraguay;Bahía Negra
Alto Paraguay;Capitán Carmelo Peralta
Alto Paraguay;Fuerte Olimpo
Alto Paraguay;Puerto Casado
Alto Parana;Ciudad del Este
Alto Parana;Doctor Juan León Mallorquín
Alto Parana;Doctor Raúl Peña
Alto Parana;Domingo Martínez de Irala
Alto Parana;Hernandarias
Alto Parana;Iruña
Alto Parana;Itakyry
Alto Parana;Juan Emiliano O'Leary
Alto Parana;Los Cedrales
Alto Parana;Mbaracayú
Alto Parana;Minga Guazú
Alto Parana;Minga Porá
Alto Parana;Naranjal
Alto Parana;Ñacunday
Alto Parana;Presidente Franco
Alto Parana;San Alberto
Alto Parana;San Cristóbal
Alto Parana;Santa Fe del Paraná
Alto Parana;Santa Rita
Alto Parana;Santa Rosa del Monday
Alto Parana;Tavapy
Alto Parana;Yguazú
Amambay;Bella Vista Norte
Amambay;Capitán Bado
Amambay;Cerro Corá
Amambay;Karapaí
Amambay;Pedro Juan Caballero
Amambay;Zanja Pytá
Asunción;Asunción
Boquerón;Boquerón
Boquerón;Filadelfia
Boquerón;Loma Plata
Boquerón;Mariscal José Félix Estigarribia
Caaguazú;Caaguazú
Caaguazú;Carayaó
Caaguazú;Coronel Oviedo
Caaguazú;Doctor Cecilio Báez
Caaguazú;Doctor Juan Eulogio Estigarribia
Caaguazú;Doctor Juan Manuel Frutos
Caaguazú;José Domingo Ocampos
Caaguazú;La Pastora
Caaguazú;Mariscal Francisco Solano López
Caaguazú;Nueva Londres
Caaguazú;Nueva Toledo
Caaguazú;Raúl Arsenio Oviedo
Caaguazú;Regimiento de Infantería Tres Corrales
Caaguazú;Repatriación
Caaguazú;San Joaquín
Caaguazú;San José de los Arroyos
Caaguazú;Santa Rosa del Mbutuy
Caaguazú;Simón Bolívar
Caaguazú;Tembiaporá
Caaguazú;Tres de Febrero
Caaguazú;Vaquería
Caaguazú;Yhú
Caazapá;Abaí
Caazapá;Buena Vista
Caazapá;Caazapá
Caazapá;Doctor Moisés Santiago Bertoni
Caazapá;Fulgencio Yegros
Caazapá;General Higinio Morínigo
Caazapá;Maciel
Caazapá;San Juan Nepomuceno
Caazapá;Tavaí
Caazapá;Tres de Mayo
Caazapá;Yuty
Canindeyú;Corpus Christi
Canindeyú;Curuguaty
Canindeyú;General Francisco Caballero Álvarez
Canindeyú;Itanará
Canindeyú;Katueté
Canindeyú;La Paloma del Espíritu Santo
Canindeyú;Laurel
Canindeyú;Maracaná
Canindeyú;Nueva Esperanza
Canindeyú;Puerto Adela
Canindeyú;Salto del Guairá
Canindeyú;Villa Ygatimí
Canindeyú;Yasy Cañy
Canindeyú;Yby Pytá
Canindeyú;Ybyrarobaná
Canindeyú;Ypejhú
Central;Areguá
Central;Capiatá
Central;Fernando de la Mora
Central;Guarambaré
Central;Itá
Central;Itauguá
Central;Julián Augusto Saldívar
Central;Lambaré
Central;Limpio
Central;Luque
Central;Mariano Roque Alonso
Central;Nueva Italia
Central;Ñemby
Central;San Antonio
Central;San Lorenzo
Central;Villa Elisa
Central;Villeta
Central;Ypacaraí
Central;Ypané
Concepción;Arroyito
Concepción;Azotey
Concepción;Belén
Concepción;Concepción
Concepción;Horqueta
Concepción;Itacuá
Concepción;Loreto
Concepción;Paso Barreto
Concepción;Paso Horqueta
Concepción;San Alfredo
Concepción;San Carlos del Apa
Concepción;San Lázaro
Concepción;Sargento José Félix López
Concepción;Yby Yaú
Coordillera;Altos
Coordillera;Arroyos y Esteros
Coordillera;Atyrá
Coordillera;Caacupé
Coordillera;Caraguatay
Coordillera;Emboscada
Coordillera;Eusebio Ayala
Coordillera;Isla Pucú
Coordillera;Itacurubí de la Cordillera
Coordillera;Juan de Mena
Coordillera;Loma Grande
Coordillera;Mbocayaty del Yhaguy
Coordillera;Nueva Colombia
Coordillera;Piribebuy
Coordillera;Primero de Marzo
Coordillera;San Bernardino
Coordillera;San José Obrero
Coordillera;Santa Elena
Coordillera;Tobatí
Coordillera;Valenzuela
Guairá;Borja
Guairá;Capitán Mauricio José Troche
Guairá;Coronel Martínez
Guairá;Doctor Botrell
Guairá;Félix Pérez Cardozo
Guairá;General Eugenio Alejandrino Garay
Guairá;Independencia
Guairá;Itapé
Guairá;Iturbe
Guairá;José A. Fassardi
Guairá;Mbocayaty del Guairá
Guairá;Natalicio Talavera
Guairá;Ñumí
Guairá;Paso Yobái
Guairá;San Salvador
Guairá;Tebicuary
Guairá;Villarrica
Guairá;Yataity del Guairá
Itapúa;Alto Verá
Itapúa;Bella Vista
Itapúa;Cambyretá
Itapúa;Capitán Meza
Itapúa;Capitán Miranda
Itapúa;Carlos Antonio López
Itapúa;Carmen del Paraná
Itapúa;Coronel José Félix Bogado
Itapúa;Edelira
Itapúa;Encarnación
Itapúa;Fram
Itapúa;General Artigas
Itapúa;General Delgado
Itapúa;Hohenau
Itapúa;Itapúa Poty
Itapúa;Jesús de Tavarangüé
Itapúa;José Leandro Oviedo
Itapúa;La Paz
Itapúa;Mayor Julio Dionisio Otaño
Itapúa;Natalio
Itapúa;Nueva Alborada
Itapúa;Obligado
Misiones;Ayolas
Misiones;San Ignacio Guazú
Misiones;San Juan Bautista
Misiones;San Miguel
Misiones;San Patricio
Misiones;Santa María de Fe
Misiones;Santa Rosa de Lima
Misiones;Santiago
Misiones;Villa Florida
Misiones;Yabebyry
Ñeembucú;Alberdi
Ñeembucú;Cerrito
Ñeembucú;Desmochados
Ñeembucú;General José Eduvigis Díaz
Ñeembucú;Guazú Cuá
Ñeembucú;Humaitá
Ñeembucú;Isla Umbú
Ñeembucú;Laureles
Ñeembucú;Mayor José Martínez
Ñeembucú;Paso de Patria
Ñeembucú;Pilar
Ñeembucú;San Juan Bautista de Ñeembucú
Ñeembucú;Tacuaras
Ñeembucú;Villa Franca
Ñeembucú;Villa Oliva
Ñeembucú;Villalbín
Paraguarí;Acahay
Paraguarí;Caapucú
Paraguarí;Carapeguá
Paraguarí;Escobar
Paraguarí;General Bernardino Caballero
Paraguarí;La Colmena
Paraguarí;María Antonia
Paraguarí;Mbuyapey
Paraguarí;Paraguarí
Paraguarí;Pirayú
Paraguarí;Quiindy
Paraguarí;Quyquyhó
Paraguarí;San Roque González de Santa Cruz
Paraguarí;Sapucai
Paraguarí;Tebicuarymí
Paraguarí;Yaguarón
Paraguarí;Ybycuí
Paraguarí;Ybytymí
Presidente Hayes;Benjamín Aceval
Presidente Hayes;Campo Aceval
Presidente Hayes;General José María Bruguez
Presidente Hayes;José Falcón
Presidente Hayes;Nanawa
Presidente Hayes;Nueva Asunción
Presidente Hayes;Puerto Pinasco
Presidente Hayes;Teniente Esteban Martínez
Presidente Hayes;Teniente Primero Manuel Irala Fernández
Presidente Hayes;Villa Hayes
San Pedro;Antequera
San Pedro;Capiibary
San Pedro;Choré
San Pedro;General Elizardo Aquino
San Pedro;General Isidoro Resquín
San Pedro;Guayaibí
San Pedro;Itacurubí del Rosario
San Pedro;Liberación
San Pedro;Lima
San Pedro;Nueva Germania
San Pedro;San José del Rosario
San Pedro;San Estanislao
San Pedro;San Pablo
San Pedro;San Pedro de Ycuamandiyú
San Pedro;San Vicente Pancholo
San Pedro;Santa Rosa del Aguaray
San Pedro;Tacuatí
San Pedro;Unión
San Pedro;Veinticinco de Diciembre
San Pedro;Villa del Rosario
San Pedro;Yataity del Norte
San Pedro;Yrybucuá
